а-агш	а-агш (абх.) Salalbana L. Уапшы псахъвакIахвхва\n1. ива белая;\n
хIаджьрат	хIаджьра́т\n1.\n1) ист. абрек;\n
хIаджьсарыкъ	хIаджьсары́къ\n1.\n1) чалма;\n2) кисточка на феске паломника;\n
хIаджьхъылпа	хIаджьхъы́лпа\n1.\n1) феска паломника;\n
хIаджьчпара	хIа́джьчпара рел.\n1. неперех.\n1) совершать (совершить) паломничество;\n паломничать;\n2. в знач. сущ.\n1) паломничество;\n
хIаджьчпарта	хIаджьчпа́рта\n1.\n1) место паломничества;\n
хIаджьы	хIаджьы́\n1.\n1) рел. хаджи (мусульманин, совершивший паломничество в Мекку или Медину);\n
хIазыр	хIазы́р\n1.\n1) газыри;\nхьапщ хIазыр золотые газыри
хIазырзлара	хIазы́рзлара\n1. неперех.\n1) быть готовым;\n быть готовым к употреблению;\nафачIвы хIазырпI обед готов
хIазырра	хIазы́рра\n1.\n1) готовность;\n2) перен. спелость, зрелость;\n
хIазыртара	хIазыртара́\n1.\n1) газырница (клапаны, в которые вставляются газыри);\n
хIазырхара	хIазы́рхара\n1. неперех.\n1) поспевать, поспеть (об обеде и т. п.);\n2) перен. поспевать, поспеть, созревать, созреть;\n
хIай-хIай	хIай-хIа́й\n1.\n1) межд. ай-ай, эй-эй;\nхIай-хIай, швгIадза! эй-эй, бегите скорей!\n2.\n1) вводн. сл. и частица конечно, безусловно;\nхIай-хIай, снайпI конечно, придушвара швадгылума? - хIай-хIай!вы согласны? - Конечно!
хIайльа	хIайльа́\n1.\n1) хитрый, изворотливый, находчивый;\nдбага хIайльапI он хитёр, как лиса
хIайльара	хIайльа́ра\n1.\n1) хитрость, изворотливость, находчивость;\n
хIайльачы	хIайльачы́\n1.\n1) хитрый, изворотливый, находчивый;\n
хIайльачыра	хIайльачы́ра\n1.\n1) хитрость, изворотливость, находчивость;\n
хIакв	хIа́кв\n1.\n1) печь, печка;\nурышв хIакв русская печь\n2. в роли опр.\n1) печной;\nхIакв уарджьакъ печная труба
хIакваквцIагIв	хIакваквцIа́гIв\n1.\n1) печник;\n
хIакврыцкьагIв	хIаквры́цкьагIв\n1.\n1) трубочист;\n
хIаквтацIагIв	хIаквтацIа́гIв\n1.\n1) печник;\n
хIаквхъгIвага	хIаквхъгIва́га\n1.\n1) вьюшка, задвижка;\nахIаквхъгIвага хъгIвара задвинуть вьюшку
хIаквым	хIаквы́м\n1.\n1) (самостоятельно не употребляется)ауи йхIаквым данырцIатI его наказали по заслугамхIаквым харасудить (кого), вести судебное разбирательство
хIаквым аквымхара	хIаквы́м\n1.\n1) (самостоятельно не употребляется)ауи йхIаквым данырцIатI его наказали по заслугамхIаквым харасудить (кого), вести судебное разбирательство
хIаквым хара	хIаквы́м\n1.\n1) (самостоятельно не употребляется)ауи йхIаквым данырцIатI его наказали по заслугамхIаквым харасудить (кого), вести судебное разбирательство
хIаквымхагIв	хIаквы́мхагср. тж. судхагIв\n1.\n1) судья;\n
хIаквымхарта	хIаквымха́рта ср. тж. судхарта\n1.\n1) место, где ведётся судебное разбирательство;\n суд;\n
хIаквышв	хIаквы́шв\n1.\n1) дверца печная;\n
хIакъ	хIа́къ\n1.\n1) долг, обязанность;\n2) заслуга;\nйхIакъ йытхра воздать по заслугам
